Constituency No.	Constituency Name	Candidate Name	Party	Votes Polled	Position	Win/Lose Margin
1	Chhattisgarh - Bharatpur-sonhat	GULAB KAMRO	Indian National Congress	51732	1	16533
1	Chhattisgarh - Bharatpur-sonhat	CHAMPADEVI PAWLE	Bharatiya Janata Party	35199	2	16533
1	Chhattisgarh - Bharatpur-sonhat	SHYAM SINGH MARKAM	Gondvana Gantantra Party	26632	3	
1	Chhattisgarh - Bharatpur-sonhat	KRISHANA PRASAD CHERVA	Bahujan Samaj Party	9689	4	
1	Chhattisgarh - Bharatpur-sonhat	None of the Above	None of the Above	3360	5	
1	Chhattisgarh - Bharatpur-sonhat	SUKHMANTI BAI	Aam Aadmi Party	2205	6	
1	Chhattisgarh - Bharatpur-sonhat	SHARAN SINGH	Independent	1486	7	
1	Chhattisgarh - Bharatpur-sonhat	KRISHNA KANT NAGVANSHI	Chhattisgarh Vikas Ganga Rashtriya Party	1409	8	
1	Chhattisgarh - Bharatpur-sonhat	MADANLAL	Bhartiya Panchyat Party	837	9	
1	Chhattisgarh - Bharatpur-sonhat	POOJA SINGH POYA	Pichhara Samaj Party United	626	10	
2	Chhattisgarh - Manendragarh	DR. VINAY JAISWAL	Indian National Congress	35819	1	4074
2	Chhattisgarh - Manendragarh	SHYAM BIHARI JAISWAL	Bharatiya Janata Party	31745	2	4074
2	Chhattisgarh - Manendragarh	LAKHAN LAL SHRIVASTAVA (PANI WALE BABA)	Janta Congress Chhattisgarh (J)	12907	3	
2	Chhattisgarh - Manendragarh	ADITYA RAJ DAVID	Gondvana Gantantra Party	11564	4	
2	Chhattisgarh - Manendragarh	None of the Above	None of the Above	2112	5	
2	Chhattisgarh - Manendragarh	SATISH KUMAR SINGH	Aam Aadmi Party	1004	6	
2	Chhattisgarh - Manendragarh	DEEPAK KUMAR	Independent	805	7	
2	Chhattisgarh - Manendragarh	DIGAMBER SINGH	Independent	766	8	
2	Chhattisgarh - Manendragarh	JALJEET SINGH POYA	Rashtriya Gondvana Party	526	9	
2	Chhattisgarh - Manendragarh	DR. FLORENCE NIGHTINGLE SAGAR (DR. LAKRA MADAM)	Janata Dal (United)	374	10	
2	Chhattisgarh - Manendragarh	PARATAP SINGH	Bhartiya Panchyat Party	266	11	
3	Chhattisgarh - Baikunthpur	AMBICA SINGH DEO	Indian National Congress	48885	1	5339
3	Chhattisgarh - Baikunthpur	BHAIYALAL RAJWADE	Bharatiya Janata Party	43546	2	5339
3	Chhattisgarh - Baikunthpur	ENGR.SANJAY SINGH KAMRO	Gondvana Gantantra Party	20247	3	
3	Chhattisgarh - Baikunthpur	BIHARI LAL RAJWADE	Janta Congress Chhattisgarh (J)	9236	4	
3	Chhattisgarh - Baikunthpur	None of the Above	None of the Above	2630	5	
3	Chhattisgarh - Baikunthpur	SUNIL SINGH	Aam Aadmi Party	1504	6	
3	Chhattisgarh - Baikunthpur	RAM NARAYAN SAHU	Independent	1171	7	
3	Chhattisgarh - Baikunthpur	CHINTAMANI SANDILYA	Independent	710	8	
3	Chhattisgarh - Baikunthpur	GOPAL SINGH	Independent	615	9	
3	Chhattisgarh - Baikunthpur	RAM PRATAP SAHU	Bhartiya Panchyat Party	579	10	
3	Chhattisgarh - Baikunthpur	LAV SINGH UDAY	Rashtriya Gondvana Party	426	11	
4	Chhattisgarh - Premnagar	KHEL SAI SINGH	Indian National Congress	66475	1	15340
4	Chhattisgarh - Premnagar	VIJAY PRATAP SINGH	Bharatiya Janata Party	51135	2	15340
4	Chhattisgarh - Premnagar	JAINATH SINGH KERAM	Gondvana Gantantra Party	26388	3	
4	Chhattisgarh - Premnagar	PANKAJ TIWARI	Janta Congress Chhattisgarh (J)	11842	4	
4	Chhattisgarh - Premnagar	None of the Above	None of the Above	4058	5	
4	Chhattisgarh - Premnagar	ANJAY JAIN	Aam Aadmi Party	2178	6	
4	Chhattisgarh - Premnagar	SURAJLAL RAVI	Independent	2091	7	
4	Chhattisgarh - Premnagar	ALOK KUMAR SAHU	Independent	1797	8	
