Constituency No.	Constituency Name	Candidate Name	Party	Votes Polled	Position	Win/Lose Margin
1	Mizoram - Hachhek	LALRINDIKA RALTE	Indian National Congress	6202	1	366
1	Mizoram - Hachhek	LALRINENGA SAILO	Mizo National Front	5836	2	366
1	Mizoram - Hachhek	VANLALRUATA PACHUAU	Bharatiya Janata Party	4399	3	
1	Mizoram - Hachhek	H LALLIANZUALA	Independent	1373	4	
1	Mizoram - Hachhek	EDDY ZOSANGLIANA COLNEY	Peoples Representation for Identity and Status of Mizoram (PRISM) Party	250	5	
1	Mizoram - Hachhek	None of the Above	None of the Above	250	6	
1	Mizoram - Hachhek	LALZENGHAKI	Independent	133	7	
1	Mizoram - Hachhek	J. LALSAILOVA	Independent	91	8	
1	Mizoram - Hachhek	C RAMKINLOVA	Nationalist Congress Party	78	9	
2	Mizoram - Dampa	LALRINTLUANGA SAILO	Mizo National Front	5840	1	1657
2	Mizoram - Dampa	LALROBIAKA	Indian National Congress	4183	2	1657
2	Mizoram - Dampa	ER. K. LALRIMAWIA	Bharatiya Janata Party	3051	3	
2	Mizoram - Dampa	F LALRINTLUANGI	Independent	1920	4	
2	Mizoram - Dampa	LALRINZUALA CHAWNGTHU	Peoples Representation for Identity and Status of Mizoram (PRISM) Party	133	5	
2	Mizoram - Dampa	LIANZUALA	National People's Party	106	6	
2	Mizoram - Dampa	None of the Above	None of the Above	77	7	
2	Mizoram - Dampa	LALCHUHVELA	Independent	33	8	
2	Mizoram - Dampa	LALAWMPUIA CHHANGTE	Nationalist Congress Party	28	9	
3	Mizoram - Mamit	H. LALZIRLIANA	Mizo National Front	6874	1	407
3	Mizoram - Mamit	JOHN ROTLUANGLIANA	Indian National Congress	6467	2	407
3	Mizoram - Mamit	MALSAWMTLUANGA	Bharatiya Janata Party	4528	3	
3	Mizoram - Mamit	C.ZOTHANSANGA	Independent	1122	4	
3	Mizoram - Mamit	None of the Above	None of the Above	190	5	
3	Mizoram - Mamit	LIANZUALA	National People's Party	90	6	
3	Mizoram - Mamit	LALAWMPUIA CHHANGTE	Nationalist Congress Party	80	7	
3	Mizoram - Mamit	B.LALHMUNZAWNGA	Independent	75	8	
4	Mizoram - Tuirial	ANDREW H. THANGLIANA	Independent	4387	1	204
4	Mizoram - Tuirial	SAILOTHANGA SAILO	Mizo National Front	4183	2	204
4	Mizoram - Tuirial	JOSEPH L. RALTE	Indian National Congress	3748	3	
4	Mizoram - Tuirial	HMINGDAILOVA KHIANGTE	National People's Party	1209	4	
4	Mizoram - Tuirial	JACOB T. VANLAWMA	Bharatiya Janata Party	487	5	
4	Mizoram - Tuirial	B. VANLALHRUAIA	Peoples Representation for Identity and Status of Mizoram (PRISM) Party	104	6	
4	Mizoram - Tuirial	V. LALENNAWMA	Independent	66	7	
4	Mizoram - Tuirial	None of the Above	None of the Above	61	8	
5	Mizoram - Kolasib	K. LALRINLIANA	Mizo National Front	5940	1	279
5	Mizoram - Kolasib	LALFAMKIMA	Independent	5661	2	279
5	Mizoram - Kolasib	DR. NGURDINGLIANA	Indian National Congress	5232	3	
5	Mizoram - Kolasib	B. LIANTHLIRA	Bharatiya Janata Party	504	4	
5	Mizoram - Kolasib	JOHN LALREMRUATA	National People's Party	288	5	
5	Mizoram - Kolasib	None of the Above	None of the Above	106	6	
5	Mizoram - Kolasib	ZODINSANGA	Peoples Representation for Identity and Status of Mizoram (PRISM) Party	80	7	
6	Mizoram - Serlui	LALRINSANGA RALTE	Mizo National Front	6128	1	927
6	Mizoram - Serlui	LALHMACHHUANA	Indian National Congress	5201	2	927
6	Mizoram - Serlui	LALMUANPUIA PUNTE	Independent	1995	3	
6	Mizoram - Serlui	VANLALHMUAKA	Bharatiya Janata Party	1959	4	
6	Mizoram - Serlui	HMINGCHUNGNUNGA	National People's Party	638	5	
6	Mizoram - Serlui	None of the Above	None of the Above	134	6	
7	Mizoram - Tuivawl	LALCHHANDAMA RALTE	Mizo National Front	5207	1	3
7	Mizoram - Tuivawl	R. L. PIANMAWIA	Indian National Congress	5204	2	3
7	Mizoram - Tuivawl	JUDY ZOHMINGLIANI	Bharatiya Janata Party	1607	3	
7	Mizoram - Tuivawl	K. ROMAWIA	Independent	1083	4	
7	Mizoram - Tuivawl	H. K. HLIMPAWLTHANGA	Independent	58	5	
7	Mizoram - Tuivawl	None of the Above	None of the Above	52	6	
8	Mizoram - Chalfilh	LALRINLIANA SAILO	Mizo National Front	5541	1	1007
8	Mizoram - Chalfilh	F. RUALHLEIA	Independent	4534	2	1007
8	Mizoram - Chalfilh	L. T. HRANGCHAL	Indian National Congress	4144	3	
8	Mizoram - Chalfilh	P. SANGHMINGTHANGA	Bharatiya Janata Party	678	4	
8	Mizoram - Chalfilh	None of the Above	None of the Above	81	5	
9	Mizoram - Tawi	R.LALZIRLIANA	Mizo National Front	4940	1	184
9	Mizoram - Tawi	R. LALTHATLUANGA	Independent	4756	2	184
9	Mizoram - Tawi	ROSIAMNGHETA	Indian National Congress	2630	3	
9	Mizoram - Tawi	PROF.J.V.HLUNA	Bharatiya Janata Party	714	4	
9	Mizoram - Tawi	H.LALREMSIAMA	Peoples Representation for Identity and Status of Mizoram (PRISM) Party	97	5	
9	Mizoram - Tawi	LALZENGHAKI	Independent	49	6	
9	Mizoram - Tawi	None of the Above	None of the Above	39	7	
10	Mizoram - Aizawl North - i	VANLALHLANA	Independent	7094	1	1165
10	Mizoram - Aizawl North - i	LALRINGLIANA	Mizo National Front	5929	2	1165
10	Mizoram - Aizawl North - i	C.LALHLIMPUIA	Indian National Congress	3595	3	
10	Mizoram - Aizawl North - i	LALRUATFELI HLAWNDO	Independent	700	4	
10	Mizoram - Aizawl North - i	DAVID LALFAKZUALA	Bharatiya Janata Party	225	5	
