Constituency No.	Constituency Name	Candidate Name	Party	Votes Polled	Position	Win/Lose Margin
1	Madhya Pradesh - SHEOPUR	BABU JANDEL	Indian National Congress	98580	1	41710
1	Madhya Pradesh - SHEOPUR	DURGA LAL VIJAY (VAKIL)	Bharatiya Janata Party	56870	2	41710
1	Madhya Pradesh - SHEOPUR	TULSINARAYAN MEENA	Bahujan Samaj Party	14444	3	
1	Madhya Pradesh - SHEOPUR	AD. KULDEEP SINGH	Aam Aadmi Party	2142	4	
1	Madhya Pradesh - SHEOPUR	None of the Above	None of the Above	1794	5	
1	Madhya Pradesh - SHEOPUR	DIPTEE SAYYAD ZFAR ALI	Independent	1062	6	
1	Madhya Pradesh - SHEOPUR	MUKESH SUMAN	Bahujan Mukti Party	937	7	
1	Madhya Pradesh - SHEOPUR	HRVILASH ADIVASI	Independent	878	8	
1	Madhya Pradesh - SHEOPUR	TEJPAL ADIWASI	Jai Prakash Janata Dal	594	9	
1	Madhya Pradesh - SHEOPUR	MURLIDHAR PRAJAPATI	Rashtriya Krantikari Samajwadi Party	525	10	
1	Madhya Pradesh - SHEOPUR	RAVINDRA KUMAR	Inqalab Vikas Dal	466	11	
1	Madhya Pradesh - SHEOPUR	BHURE SINGH MALEE	Jan Adhikar Party	398	12	
2	Madhya Pradesh - VIJAYPUR	SEETARAM	Bharatiya Janata Party	63331	1	2840
2	Madhya Pradesh - VIJAYPUR	RAMNIWAS RAWAT	Indian National Congress	60491	2	2840
2	Madhya Pradesh - VIJAYPUR	BABULAL MEBRA	Bahujan Samaj Party	35628	3	
2	Madhya Pradesh - VIJAYPUR	PANNALAL SOLANKI [RTD COLLECTOR]	Independent	2615	4	
2	Madhya Pradesh - VIJAYPUR	MUKESH MALHOTRA	Independent	2423	5	
2	Madhya Pradesh - VIJAYPUR	None of the Above	None of the Above	1793	6	
2	Madhya Pradesh - VIJAYPUR	ARVIND DHAKAR	Bahujan Mukti Party	1360	7	
2	Madhya Pradesh - VIJAYPUR	RAMSINGH DHAKAD URF PAPPU BABA	Independent	1180	8	
2	Madhya Pradesh - VIJAYPUR	RAMCHARAN MALI (BAKIL)	Independent	979	9	
2	Madhya Pradesh - VIJAYPUR	DURJAN LAL RAY	Independent	802	10	
2	Madhya Pradesh - VIJAYPUR	KAMLESH	Independent	719	11	
2	Madhya Pradesh - VIJAYPUR	MURARI SAHARIYA	Independent	543	12	
2	Madhya Pradesh - VIJAYPUR	ASHUTOSH CHATURVEDI (BABLU)	Aam Aadmi Party	474	13	
2	Madhya Pradesh - VIJAYPUR	AMRAT SINGH SIKARWAR	Independent	397	14	
2	Madhya Pradesh - VIJAYPUR	RAM NIVAS KUSHWAH	Bhartiya Veer Dal	391	15	
2	Madhya Pradesh - VIJAYPUR	GIRRAJ	Independent	379	16	
3	Madhya Pradesh - SABALAGADH	BAIJNATH KUSHWAH	Indian National Congress	54606	1	8737
3	Madhya Pradesh - SABALAGADH	LAL SINGH KEWAT	Bahujan Samaj Party	45869	2	8737
3	Madhya Pradesh - SABALAGADH	SARLA VIJENDRA RAWAT	Bharatiya Janata Party	45100	3	
3	Madhya Pradesh - SABALAGADH	COL.UMESH VERMA	Aam Aadmi Party	1532	4	
3	Madhya Pradesh - SABALAGADH	CHANDRA PRAKASH SHARMA	Independent	1433	5	
3	Madhya Pradesh - SABALAGADH	None of the Above	None of the Above	994	6	
3	Madhya Pradesh - SABALAGADH	ARVIND	Shiv Sena	934	7	
3	Madhya Pradesh - SABALAGADH	DR.RAJENDRA SINGH RAWAT	Samajwadi Party	845	8	
3	Madhya Pradesh - SABALAGADH	PATIRAM SHAKYA	Independent	559	9	
3	Madhya Pradesh - SABALAGADH	DIBAI CHAND KEVAT	Independent	425	10	
3	Madhya Pradesh - SABALAGADH	NARESH SHRIVASH	Independent	399	11	
3	Madhya Pradesh - SABALAGADH	SHAILENDRA KUMAR GAUR	All India Forward Bloc	350	12	
3	Madhya Pradesh - SABALAGADH	RAVI SHARMA	Bhartiya Gramin Samaj Party	230	13	
3	Madhya Pradesh - SABALAGADH	USHA RAWAT	Bhartiya Panchyat Party	94	14	
4	Madhya Pradesh - JAURA	BANAVAREELAL SHARMA (JAPTHAP)	Indian National Congress	56187	1	15173
4	Madhya Pradesh - JAURA	MANEERAM DHAKAD	Bahujan Samaj Party	41014	2	15173
4	Madhya Pradesh - JAURA	SUBEDAR SINGH RAJODHA	Bharatiya Janata Party	37988	3	
4	Madhya Pradesh - JAURA	ATAR SINGH GURJAR	Mahan Dal	17167	4	
4	Madhya Pradesh - JAURA	SONERAM KUSHWAH	Samajwadi Party	2742	5	
4	Madhya Pradesh - JAURA	VIDYARAM PRAJAPATI	Shiv Sena	1303	6	
4	Madhya Pradesh - JAURA	MANIRAM SHAKYA	Bahujan Mukti Party	1168	7	
4	Madhya Pradesh - JAURA	GAYARAM SINGH DHAKAD	Communist Party of India (Marxist)	1110	8	
4	Madhya Pradesh - JAURA	SHRIKRISHAN SINGH KUSHWAH	Aam Aadmi Party	791	9	
4	Madhya Pradesh - JAURA	DHARMENDRA	Independent	499	10	
4	Madhya Pradesh - JAURA	SURENDRA SHARMA (TYAGI)	Sapaks Party	438	11	
4	Madhya Pradesh - JAURA	RAMLAKHAN SINGH SIKARWAR	Independent	429	12	
4	Madhya Pradesh - JAURA	KULADEEP SINGH	Independent	370	13	
4	Madhya Pradesh - JAURA	None of the Above	None of the Above	363	14	
4	Madhya Pradesh - JAURA	RAM RAJ	Independent	360	15	
4	Madhya Pradesh - JAURA	GAJENDRA KORI	Jan Adhikar Party	303	16	
4	Madhya Pradesh - JAURA	VINAY SINGH	Independent	247	17	
