Constituency No.	Constituency Name	Candidate Name	Party	Votes Polled	Position	Win/Lose Margin
1	Rajasthan - Sadulshahar	JAGDISH CHANDER	Indian National Congress	73153	1	9676
1	Rajasthan - Sadulshahar	GURVEER SINGH BRAR	Bharatiya Janata Party	63477	2	9676
1	Rajasthan - Sadulshahar	OM BISHNOI	Independent	36767	3	
1	Rajasthan - Sadulshahar	PALA RAM	Communist Party of India (Marxist)	2602	4	
1	Rajasthan - Sadulshahar	AVTAR SINGH	Communist Party of India	1764	5	
1	Rajasthan - Sadulshahar	BALWANT NIMIWAL	Abhinav Rajasthan Party	1744	6	
1	Rajasthan - Sadulshahar	None of the Above	None of the Above	1641	7	
1	Rajasthan - Sadulshahar	VINOD KHICHAR	Bahujan Samaj Party	1097	8	
1	Rajasthan - Sadulshahar	ANKIT BHAMBHU	Aam Aadmi Party	1072	9	
1	Rajasthan - Sadulshahar	MAJOR SINGH	Independent	783	10	
1	Rajasthan - Sadulshahar	NIRANJAN SINGH	Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)	347	11	
1	Rajasthan - Sadulshahar	KRISHAN GOSWAMI	Republican Party of India (A)	309	12	
2	Rajasthan - Ganganagar	RAJ KUMAR GAUR	Independent	44998	1	9180
2	Rajasthan - Ganganagar	ASHOK CHANDAK	Indian National Congress	35818	2	9180
2	Rajasthan - Ganganagar	VINITA AHUJA	Bharatiya Janata Party	29686	3	
2	Rajasthan - Ganganagar	JAIDEEP BIHANI	Independent	29206	4	
2	Rajasthan - Ganganagar	PRAHALAD RAI TAK	Bahujan Samaj Party	14834	5	
2	Rajasthan - Ganganagar	KAMINI JINDAL	National Unionist Zamindara Party	4887	6	
2	Rajasthan - Ganganagar	RADHESHYAM GANGANAGAR	Independent	2318	7	
2	Rajasthan - Ganganagar	None of the Above	None of the Above	1170	8	
2	Rajasthan - Ganganagar	DHIR SINGH	Independent	994	9	
2	Rajasthan - Ganganagar	NAND KISHORE BIHANI	Independent	981	10	
2	Rajasthan - Ganganagar	KRISHAN KUMAR	Independent	848	11	
2	Rajasthan - Ganganagar	AMIT KARGWAL	Aam Aadmi Party	836	12	
