Constituency No.	Constituency Name	Candidate Name	Party	Votes Polled	Position	Win/Lose Margin
1	Karnataka - Nippani	JOLLE SHASHIKALA ANNASAHEB	Bharatiya Janata Party	87006	1	8506
1	Karnataka - Nippani	KAKASO PANDURANG PATIL	Indian National Congress	78500	2	8506
1	Karnataka - Nippani	KAMAT RAMESH ISHWAR	Bahujan Samaj Party	2476	3	
1	Karnataka - Nippani	None of the Above	None of the Above	1447	4	
1	Karnataka - Nippani	ROHINI SHRIMANT DIXIT	All India Mahila Empowerment Party	1353	5	
1	Karnataka - Nippani	SHARAD RAMAGONDA PATIL	Independent	525	6	
1	Karnataka - Nippani	JAYARAM PARASHARAM MIRAJAKARKAKA	Independent	270	7	
1	Karnataka - Nippani	SAMBHAJI BAPUSO THORAVAT	Independent	266	8	
1	Karnataka - Nippani	VIJAYLAKSHMI APPASAHEB KURANE	Bharatiya Republican Paksha	165	9	
1	Karnataka - Nippani	SACHIN KALLAPPA MADHALE	Bahujan Mukti Party	133	10	
1	Karnataka - Nippani	ANIL SHIVAJI KAMATE	Independent	110	11	
2	Karnataka - Chikkodi-Sadalga	GANESH PRAKASH HUKKERI	Indian National Congress	91467	1	10569
2	Karnataka - Chikkodi-Sadalga	ANNASAHEB SHANKAR JOLLE	Bharatiya Janata Party	80898	2	10569
2	Karnataka - Chikkodi-Sadalga	SADASHIVAPPA MARUTI WALKE	Bahujan Samaj Party	2935	3	
2	Karnataka - Chikkodi-Sadalga	None of the Above	None of the Above	1363	4	
2	Karnataka - Chikkodi-Sadalga	ANNAPURNA CHANNAPPA ASURKAR	All India Mahila Empowerment Party	794	5	
2	Karnataka - Chikkodi-Sadalga	SOMANATH GANGAYYA HIREMATH	Independent	734	6	
2	Karnataka - Chikkodi-Sadalga	SUNIL ANNASAB K.KHOT	Independent	282	7	
2	Karnataka - Chikkodi-Sadalga	MOHAN GURAPPA MOTANNAVAR	Independent	244	8	
2	Karnataka - Chikkodi-Sadalga	APPASAHEB SHRIPATI KURANE	Bharatiya Republican Paksha	198	9	
2	Karnataka - Chikkodi-Sadalga	DADA VASANT PATIL	Independent	147	10	
2	Karnataka - Chikkodi-Sadalga	JITENDRA SUBHASH NERLE	Independent	139	11	
3	Karnataka - Athani	MAHESH IRANAGOUDA KUMATHALLI	Indian National Congress	82094	1	2331
3	Karnataka - Athani	LAXMAN SANGAPPA SAVADI	Bharatiya Janata Party	79763	2	2331
3	Karnataka - Athani	GIRISH KEDAREPPA BUTALI	Janata Dal (Secular)	3381	3	
3	Karnataka - Athani	MAHAVEER DASHARATH MANOJI	All India Mahila Empowerment Party	912	4	
3	Karnataka - Athani	RAJESH BABU SHINGE	Independent	880	5	
3	Karnataka - Athani	None of the Above	None of the Above	842	6	
3	Karnataka - Athani	NINGAPPA SUBHAS GURAV	Praja Parivartan Party	827	7	
3	Karnataka - Athani	SHIVAMALLAPPA BASAPPA KULALI	Independent	725	8	
3	Karnataka - Athani	ARJUN BHAGAVANT PATIL	Independent	541	9	
3	Karnataka - Athani	MEHABUB ASLAM SHAIKH	Bahujan Mukti Party	210	10	
3	Karnataka - Athani	VITTHAL NINGAPPA PUJARI	Namma Congress	207	11	
3	Karnataka - Athani	BASAPPA KALLAPPA HANCHINAL	Hindustan Janta Party	183	12	
