Constituency No.	Constituency Name	Candidate Name	Party	Votes Polled	Position	Win/Lose Margin
1	Tamil Nadu - Gummidipoondi	VIJAYAKUMAR K S	All India Anna Dravida Munnetra Kazhagam	89332	1	23395
1	Tamil Nadu - Gummidipoondi	SEKAR C H	Dravida Munnetra Kazhagam	65937	2	23395
1	Tamil Nadu - Gummidipoondi	SELVARAJ M	Pattali Makkal Katchi	43055	3	
1	Tamil Nadu - Gummidipoondi	GEETHA K	Desiya Murpokku Dravida Kazhagam	6585	4	
1	Tamil Nadu - Gummidipoondi	BHASKARAN M	Bharatiya Janata Party	2092	5	
1	Tamil Nadu - Gummidipoondi	None of the Above	None of the Above	1484	6	
1	Tamil Nadu - Gummidipoondi	MURALI KRISHNA M (A) SAMARAN	Bahujan Samaj Party	1282	7	
1	Tamil Nadu - Gummidipoondi	SURESHKUMAR S	Naam Tamilar Katchi	1250	8	
1	Tamil Nadu - Gummidipoondi	MURUGAN M	Independent	875	9	
1	Tamil Nadu - Gummidipoondi	KANDAVEL R	Youth And Students Party	645	10	
1	Tamil Nadu - Gummidipoondi	KARUNAKARAN A	Independent	554	11	
1	Tamil Nadu - Gummidipoondi	ARULVEL SELVAN C	Independent	550	12	
1	Tamil Nadu - Gummidipoondi	PANDIYAN A	Independent	231	13	
1	Tamil Nadu - Gummidipoondi	GANAPATHY R	Independent	164	14	
1	Tamil Nadu - Gummidipoondi	SARAVANAN T	Independent	163	15	
1	Tamil Nadu - Gummidipoondi	KANTHARAJ V C	Gokula Makkal Katchi	149	16	
2	Tamil Nadu - Ponneri	BALARAMAN P	All India Anna Dravida Munnetra Kazhagam	95979	1	19336
2	Tamil Nadu - Ponneri	PARIMALAM K DOCTOR	Dravida Munnetra Kazhagam	76643	2	19336
2	Tamil Nadu - Ponneri	PANDIAN A	Pattali Makkal Katchi	9586	3	
2	Tamil Nadu - Ponneri	SENTHIL KUMAR V	Viduthalai Chiruthaigal Katchi	5566	4	
2	Tamil Nadu - Ponneri	None of the Above	None of the Above	2284	5	
2	Tamil Nadu - Ponneri	GANESAN K	Bharatiya Janata Party	2067	6	
